,precision,recall,f1
calculator,1.0,0.978494623655914,0.9888888888888889
desk_chair,1.0,0.9916666666666667,0.9957805907172995
desk_lamp,1.0,1.0,1.0
desktop_computer,0.8898484848484848,1.0,0.9410403325469048
file_cabinet,1.0,0.912280701754386,0.9517753047164813
