,precision,recall,f1,categories
0,0.10344827586206896,0.10344827586206896,0.10344827586206896,back_pack
1,0.047619047619047616,0.047619047619047616,0.047619047619047616,bike
2,0.14285714285714285,0.14285714285714285,0.14285714285714285,bike_helmet
3,0.16666666666666666,0.16666666666666666,0.16666666666666666,bookcase
4,0.0625,0.0625,0.0625,bottle
5,0.1935483870967742,0.1935483870967742,0.1935483870967742,calculator
6,0.2222222222222222,0.25,0.23529411764705882,desk_chair
7,0.07692307692307693,0.05555555555555555,0.06451612903225806,desk_lamp
8,0.047619047619047616,0.047619047619047616,0.047619047619047616,desktop_computer
9,0.10526315789473684,0.10526315789473684,0.10526315789473684,file_cabinet
