,Model,accuracy,precision,recall,f1
0,Baseline,0.9431524547803618,0.9424032489249882,0.9317822333611807,0.9269902776035442
1,Deep CORAL,0.9793281653746769,0.9779696969696969,0.9764883984153934,0.975497023373915
